FEN
rnbqkb1r/pp1ppppp/8/2pnP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4
rn1qkb1r/pppbpppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rn1qkb1r/ppp1pppp/3pb3/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rnb1kb1r/pppqpppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rn1qkb1r/ppp1pppp/3p4/3nP3/2PP2b1/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/ppp1pppp/3p4/4P3/2PP1n2/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkbr1/ppp1pppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQq - 1 5
r1bqkb1r/ppp1pppp/n2p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rn1qkb1r/ppp1pppp/3p4/3nP3/2PP4/7b/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/ppp1ppp1/3p3p/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbq1b1r/pppkpppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQ - 1 5
rnbqkb1r/ppp1pppp/8/3np3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
r1bqkb1r/ppp1pppp/2np4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/ppp1pppp/3p4/4P3/2PP4/4n3/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/pp2pppp/2pp4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/ppp1pppp/3p4/4P3/2PP4/2n5/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/ppp1pppp/3p1n2/4P3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/ppp1pppp/3p4/4P3/1nPP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rn1qkb1r/ppp1pppp/3p4/3nPb2/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/ppp2ppp/3pp3/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/1pp1pppp/p2p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/ppp1p1pp/3p1p2/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
r1bqkb1r/pppnpppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 5
rnbqkb1r/1pp1pppp/3p4/p2nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/pp2pppp/3p4/2pnP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/ppp1pp1p/3p4/3nP1p1/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/ppp1ppp1/3p4/3nP2p/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/p1p1pppp/3p4/1p1nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/ppp1pp1p/3p2p1/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rnbqkb1r/ppp1p1pp/3p4/3nPp2/2PP4/8/PP3PPP/RNBQKBNR w KQkq f6 0 5
rnbqkb1r/p1p1pppp/1p1p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 5
rn1qkb1r/pppbpppp/1n1P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rnb1kb1r/ppp1pppp/1n1q4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/ppp1pppp/3P4/3n4/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rn1qkb1r/ppp1pppp/1n1P4/5b2/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rn1qkb1r/ppp1pppp/1n1Pb3/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rnbqkb1r/ppp1pppp/3P4/8/n1PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rnb1kb1r/pppqpppp/1n1P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rn1qkb1r/ppp1pppp/1n1P4/8/2PP4/7b/PP3PPP/RNBQKBNR w KQkq - 1 6
r1bqkb1r/ppp1pppp/1nnP4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rn1qkb1r/ppp1pppp/1n1P4/8/2PP2b1/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rnbqkb1r/ppp1pppp/3P4/8/2nP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbq1b1r/pppkpppp/1n1P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQ - 1 6
rnbqkb1r/pppnpppp/3P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rnbqkb1r/ppp1pp1p/1n1P2p1/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkbr1/ppp1pppp/1n1P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQq - 1 6
r1bqkb1r/ppp1pppp/nn1P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rnbqkb1r/ppp1p1pp/1n1P1p2/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/ppp1ppp1/1n1P3p/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
r1bqkb1r/pppnpppp/1n1P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 1 6
rnbqkb1r/pp2pppp/1npP4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/ppp1p1pp/1n1P4/5p2/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/1pp1pppp/pn1P4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/pp2pppp/1n1P4/2p5/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/1pp1pppp/1n1P4/p7/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/ppp2ppp/1n1Pp3/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/ppp1ppp1/1n1P4/7p/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/ppp1pp1p/1n1P4/6p1/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnbqkb1r/ppp2ppp/1n1P4/4p3/2PP4/8/PP3PPP/RNBQKBNR w KQkq - 0 6
rnb1kb1r/pp1qpppp/1n1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rnbqkbr1/pp2pppp/1n1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQq - 2 7
rn1qkb1r/pp1bpppp/1n1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rnbqkb1r/pp2pppp/3p4/3n4/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rn1qkb1r/pp2pppp/1n1pb3/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rn1qkb1r/pp2pppp/1n1p4/8/2PP4/5N1b/PP3PPP/RNBQKB1R w KQkq - 2 7
rnb1kb1r/ppq1pppp/1n1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
r1bqkb1r/pp2pppp/1nnp4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
r1bqkb1r/pp1npppp/1n1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rnbqkb1r/pp2pppp/3p4/8/2nP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rn1qkb1r/pp2pppp/1n1p4/5b2/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rnbqkb1r/pp1npppp/3p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rnbqkb1r/pp2ppp1/1n1p4/7p/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/pp2pppp/3p4/8/n1PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
r1bqkb1r/pp2pppp/nn1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rnbq1b1r/pp1kpppp/1n1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQ - 2 7
rnbqkb1r/pp3ppp/1n1pp3/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/pp2ppp1/1n1p3p/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rn1qkb1r/pp2pppp/1n1p4/8/2PP2b1/5N2/PP3PPP/RNBQKB1R w KQkq - 2 7
rnbqkb1r/pp2pppp/1n6/3p4/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/1p2pppp/1n1p4/p7/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/1p2pppp/pn1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/pp2p1pp/1n1p1p2/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/pp3ppp/1n1p4/4p3/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/pp2pp1p/1n1p2p1/8/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/pp2pp1p/1n1p4/6p1/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnbqkb1r/pp2p1pp/1n1p4/5p2/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 7
rnb1kb1r/pp1qpp1p/1n1p2p1/8/P1PP4/5N2/1P3PPP/RNBQKB1R w KQkq - 1 8
rnbq1b1r/pp1kpp1p/1n1p2p1/8/P1PP4/5N2/1P3PPP/RNBQKB1R w KQ - 1 8
rnbqk2r/pp2ppbp/1n1p2p1/8/P1PP4/5N2/1P3PPP/RNBQKB1R w KQkq - 1 8
rnbqk2r/pp2pp1p/1n1p2pb/8/P1PP4/5N2/1P3PPP/RNBQKB1R w KQkq - 1 8
r1bqkb1r/pp1npp1p/1n1p2p1/8/P1PP4/5N2/1P3PPP/RNBQKB1R w KQkq - 1 8
