Game Number,Result,White Wins,Black Wins,Draws
974.0,1-0,,,
975.0,1/2-1/2,,,
976.0,1/2-1/2,,,
977.0,1/2-1/2,,,
978.0,1-0,,,
979.0,1/2-1/2,,,
980.0,1/2-1/2,,,
981.0,1/2-1/2,,,
982.0,1/2-1/2,,,
983.0,1/2-1/2,,,
984.0,1/2-1/2,,,
985.0,1/2-1/2,,,
986.0,1-0,,,
987.0,1/2-1/2,,,
988.0,1/2-1/2,,,
989.0,1-0,,,
990.0,1/2-1/2,,,
991.0,1/2-1/2,,,
992.0,1/2-1/2,,,
993.0,1/2-1/2,,,
994.0,1/2-1/2,,,
995.0,1/2-1/2,,,
996.0,1/2-1/2,,,
997.0,1/2-1/2,,,
998.0,1/2-1/2,,,
999.0,1/2-1/2,,,
1000.0,1/2-1/2,,,
,,138.0,40.0,822.0
